Driver,Team,Year,Race,SessionType,LapNumber,Stint,Compound,TyreLife,CumulativeTireWear,LapTime_sec,TrackStatus,Position,IsPersonalBest,FuelEffectProxy,LapProgress,AvgSectorTime,Speed_mean,Speed_max,Throttle_mean,Brake_mean,DRS_activations,Gear_mean,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
GAS,Alpine,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,109.649,12,19.0,False,0.9824561403508771,0.017543859649122806,35.9575,171.1670644391408,286.0,55.236276849642,0.2529832935560859,419,4.05727923627685,27.3,31.1,22.0,1016.7,False,208,0.0
DEV,AlphaTauri,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,109.959,12,20.0,False,0.9824561403508771,0.017543859649122806,36.007,171.09285714285716,296.0,53.64523809523809,0.30952380952380953,420,4.169047619047619,27.3,31.1,22.0,1016.7,False,208,0.0
VER,Red Bull Racing,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,97.974,12,1.0,True,0.9649122807017544,0.03508771929824561,32.658,195.4077134986226,298.0,60.225895316804404,0.20385674931129477,363,5.115702479338843,27.3,31.1,22.0,1016.9,False,197,0.6
LEC,Ferrari,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,98.75,21,2.0,True,0.9649122807017544,0.03508771929824561,32.916666666666664,195.8991825613079,306.0,62.47138964577657,0.22070844686648503,367,4.961852861035422,27.3,31.1,22.0,1016.9,False,197,0.6
PER,Red Bull Racing,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,98.862,21,3.0,True,0.9649122807017544,0.03508771929824561,32.954,196.0899182561308,304.0,57.356948228882835,0.21798365122615804,369,4.869209809264305,27.3,31.1,22.0,1016.9,False,197,0.6
SAI,Ferrari,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,98.933,21,4.0,True,0.9649122807017544,0.03508771929824561,32.97766666666667,195.57065217391303,310.0,62.39945652173913,0.22010869565217392,368,5.084239130434782,27.3,31.1,22.0,1016.9,False,197,0.6
HAM,Mercedes,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.166,21,5.0,True,0.9649122807017544,0.03508771929824561,33.05533333333333,195.9756756756757,312.0,64.37837837837837,0.21891891891891893,369,5.389189189189189,27.3,31.1,22.0,1016.9,False,197,0.6
RUS,Mercedes,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.59,21,6.0,True,0.9649122807017544,0.03508771929824561,33.196666666666665,195.5956873315364,311.0,61.84905660377358,0.23180592991913745,371,5.126684636118599,27.3,31.1,22.0,1016.9,False,197,0.6
ALO,Aston Martin,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.792,21,7.0,True,0.9649122807017544,0.03508771929824561,33.264,194.20375335120644,301.0,61.76407506702413,0.1876675603217158,373,5.096514745308311,27.3,31.1,22.0,1016.9,False,197,0.6
BOT,Alfa Romeo,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,99.956,21,8.0,True,0.9649122807017544,0.03508771929824561,33.318666666666665,193.9625668449198,299.0,65.31818181818181,0.23796791443850268,374,5.179144385026738,27.3,31.1,22.0,1016.9,False,197,0.6
STR,Aston Martin,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.892,21,9.0,True,0.9649122807017544,0.03508771929824561,33.297333333333334,193.32620320855614,306.0,60.024064171122994,0.22727272727272727,373,5.165775401069519,27.3,31.1,22.0,1016.9,False,197,0.6
NOR,McLaren,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.433,21,10.0,True,0.9649122807017544,0.03508771929824561,33.47766666666667,192.83068783068782,306.0,60.13227513227513,0.2328042328042328,377,4.658730158730159,27.3,31.1,22.0,1016.9,False,197,0.6
OCO,Alpine,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,100.408,21,11.0,True,0.9649122807017544,0.03508771929824561,33.46933333333333,192.34126984126985,306.0,62.24603174603175,0.2275132275132275,382,4.764550264550264,27.3,31.1,22.0,1016.9,False,197,0.6
ALB,Williams,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.43,21,12.0,True,0.9649122807017544,0.03508771929824561,33.47666666666667,192.53947368421052,317.0,57.660526315789475,0.2578947368421053,382,5.2026315789473685,27.3,31.1,22.0,1016.9,False,197,0.6
SAR,Williams,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.467,21,13.0,True,0.9649122807017544,0.03508771929824561,33.489000000000004,192.41994750656167,313.0,59.14698162729659,0.2204724409448819,384,5.293963254593176,27.3,31.1,22.0,1016.9,False,197,0.6
HUL,Haas F1 Team,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,100.72,21,14.0,True,0.9649122807017544,0.03508771929824561,33.57333333333333,192.4251968503937,309.0,61.90288713910761,0.2283464566929134,385,5.047244094488189,27.3,31.1,22.0,1016.9,False,197,0.6
TSU,AlphaTauri,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.837,21,15.0,True,0.9649122807017544,0.03508771929824561,33.61233333333333,191.34293193717278,310.0,61.67015706806283,0.19895287958115182,381,4.633507853403142,27.3,31.1,22.0,1016.9,False,197,0.6
PIA,McLaren,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.83,21,16.0,True,0.9649122807017544,0.03508771929824561,33.61000000000001,191.13874345549738,308.0,62.13612565445026,0.2094240837696335,383,4.798429319371728,27.3,31.1,22.0,1016.9,False,197,0.6
ZHO,Alfa Romeo,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,101.091,21,17.0,True,0.9649122807017544,0.03508771929824561,33.697,191.06005221932114,312.0,62.89295039164491,0.2193211488250653,383,4.966057441253263,27.3,31.1,22.0,1016.9,False,197,0.6
GAS,Alpine,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,100.438,21,18.0,True,0.9649122807017544,0.03508771929824561,33.47933333333334,191.2269129287599,310.0,60.91820580474934,0.22691292875989447,378,4.598944591029023,27.3,31.1,22.0,1016.9,False,197,0.6
MAG,Haas F1 Team,2023,Bahrain,R,2,1.0,HARD,2.0,4.0,101.521,21,19.0,True,0.9649122807017544,0.03508771929824561,33.840333333333334,188.9164490861619,309.0,60.27154046997389,0.22715404699738903,383,4.924281984334204,27.3,31.1,22.0,1016.9,False,197,0.6
DEV,AlphaTauri,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,101.289,21,20.0,True,0.9649122807017544,0.03508771929824561,33.763,189.2958115183246,310.0,60.81151832460733,0.2513089005235602,391,4.709424083769633,27.3,31.1,22.0,1016.9,False,197,0.6
VER,Red Bull Racing,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,98.006,1,1.0,False,0.9473684210526316,0.05263157894736842,32.66866666666667,198.0951086956522,298.0,62.29076086956522,0.18478260869565216,0,5.179347826086956,27.3,31.2,22.0,1016.7,False,204,0.4
LEC,Ferrari,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,98.658,1,2.0,True,0.9473684210526316,0.05263157894736842,32.886,195.7054054054054,308.0,63.972972972972975,0.20810810810810812,0,4.972972972972973,27.3,31.2,22.0,1016.7,False,204,0.4
PER,Red Bull Racing,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,98.83,1,3.0,True,0.9473684210526316,0.05263157894736842,32.943333333333335,195.32075471698113,308.0,58.99730458221024,0.22911051212938005,0,4.846361185983827,27.3,31.2,22.0,1016.7,False,204,0.4
SAI,Ferrari,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.042,1,4.0,False,0.9473684210526316,0.05263157894736842,33.014,194.43396226415095,310.0,62.58490566037736,0.2210242587601078,846,5.172506738544475,27.3,31.2,22.0,1016.7,False,204,0.4
HAM,Mercedes,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.22,1,5.0,False,0.9473684210526316,0.05263157894736842,33.07333333333333,193.1054054054054,311.0,60.44864864864865,0.22432432432432434,582,5.462162162162162,27.3,31.2,22.0,1016.7,False,204,0.4
RUS,Mercedes,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.093,1,6.0,True,0.9473684210526316,0.05263157894736842,33.031,193.67924528301887,312.0,60.757412398921836,0.22911051212938005,818,5.204851752021563,27.3,31.2,22.0,1016.7,False,204,0.4
ALO,Aston Martin,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.1,1,7.0,True,0.9473684210526316,0.05263157894736842,33.03333333333334,193.83243243243243,300.0,60.31351351351351,0.1972972972972973,0,5.237837837837838,27.3,31.2,22.0,1016.7,False,204,0.4
BOT,Alfa Romeo,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,99.397,1,8.0,True,0.9473684210526316,0.05263157894736842,33.13233333333333,193.31805929919136,304.0,63.905660377358494,0.2560646900269542,1030,5.1347708894878705,27.3,31.2,22.0,1016.7,False,204,0.4
STR,Aston Martin,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.625,1,9.0,True,0.9473684210526316,0.05263157894736842,33.208333333333336,192.08625336927224,310.0,58.17520215633423,0.22911051212938005,848,5.121293800539084,27.3,31.2,22.0,1016.7,False,204,0.4
NOR,McLaren,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,99.777,1,10.0,False,0.9473684210526316,0.05263157894736842,33.259,194.57372654155495,304.0,61.396782841823054,0.23324396782841822,0,4.798927613941019,27.3,31.2,22.0,1016.7,False,204,0.4
